neighborhood,month_start,cleanup_incidents,ordinance_reports,cars_contacted,cars_cleaned,rvs_contacted,rvs_cleaned,tents_contacted,tents_cleaned,people_contacted,shelter_offered,shelter_accepted,warnings_issued,arrests_camping_only,cites_camping_only,arrests_camping_other,cites_camping_other,arrests_other,cites_other,warrants_failure_to_appear,warrants_property_crime,warrants_person_crime,warrants_probation_violations,warrants_drug_crime,warrants_other
Buckman East,2025-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Foster-Powell,2025-11-01,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenfair,2025-11-01,1,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0
Goose Hollow,2025-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Lloyd,2025-11-01,1,1,0,0,0,0,2,2,3,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0
Madison South,2025-11-01,1,1,1,1,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2025-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Northwest,2025-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Northwest Industrial,2025-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Piedmont,2025-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Powellhurst-Gilbert,2025-11-01,1,1,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
St Johns,2025-11-01,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Sunnyside,2025-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodland Park,2025-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hazelwood,2025-12-01,8,7,2,3,6,4,13,4,27,24,6,20,0,0,0,0,2,0,2,3,1,0,0,0
Buckman West,2025-12-01,7,6,1,1,0,0,8,7,21,16,12,13,0,0,0,0,9,1,7,2,1,0,2,0
Old Town/Chinatown,2025-12-01,7,7,0,0,0,0,27,26,37,26,16,15,0,5,0,1,10,1,5,2,0,1,2,0
Powellhurst-Gilbert,2025-12-01,6,6,3,3,6,4,5,5,6,2,1,4,0,0,0,0,1,0,1,1,0,1,1,0
Hosford-Abernethy,2025-12-01,5,5,1,3,7,6,8,8,19,12,4,10,0,3,0,0,3,0,2,8,0,0,2,0
Centennial,2025-12-01,4,4,3,3,5,5,1,1,8,4,2,4,0,0,0,0,1,0,1,0,0,0,0,0
Lents,2025-12-01,4,3,0,0,8,6,0,0,9,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0
Montavilla,2025-12-01,4,4,0,1,4,3,0,0,6,5,2,6,0,0,0,0,1,0,1,0,0,0,0,0
Parkrose,2025-12-01,4,4,0,1,2,2,4,4,9,9,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Brentwood-Darlington,2025-12-01,3,3,2,2,2,2,0,0,5,3,1,5,0,0,0,0,1,0,3,0,0,0,0,0
Eliot,2025-12-01,3,3,1,1,2,2,2,2,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Madison South,2025-12-01,3,3,1,1,1,1,8,0,10,10,0,10,0,0,0,0,2,0,2,0,0,0,0,0
Piedmont,2025-12-01,3,3,1,1,5,1,2,2,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cathedral Park,2025-12-01,2,2,1,1,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Goose Hollow,2025-12-01,2,1,0,0,0,0,9,9,7,6,1,7,0,0,0,0,3,0,1,0,0,0,1,0
Kenton,2025-12-01,2,2,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mt Scott-Arleta,2025-12-01,2,2,0,0,0,0,7,7,9,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0
Northwest,2025-12-01,2,2,0,1,1,0,1,1,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
St Johns,2025-12-01,2,2,1,1,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunderland,2025-12-01,2,2,1,1,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodstock,2025-12-01,2,2,1,1,1,1,0,0,2,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Brooklyn,2025-12-01,1,1,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Concordia,2025-12-01,1,1,0,0,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Downtown,2025-12-01,1,1,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Columbia,2025-12-01,1,1,0,0,0,0,5,3,5,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Forest Park,2025-12-01,1,1,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Foster-Powell,2025-12-01,1,1,0,0,0,0,1,1,3,3,1,3,0,0,0,0,2,0,1,0,0,0,0,1
Irvington,2025-12-01,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lloyd,2025-12-01,1,1,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Industrial,2025-12-01,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkrose Heights,2025-12-01,1,1,0,0,1,1,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Pleasant Valley,2025-12-01,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell,2025-12-01,1,1,0,0,0,0,4,4,3,3,0,3,0,0,0,0,1,0,1,0,0,0,0,1
South Portland,2025-12-01,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
South Tabor,2025-12-01,1,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Sunnyside,2025-12-01,1,1,0,0,0,0,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
West Portland Park,2025-12-01,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkes,2025-12-01,1,1,2,2,3,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
